"Genus","Species","Kingdom","Phylum","Class","Order","Family","limit_type","Tpref","ref_Tpref","n_Tpref","ref_from_ref","notes_Tpref"
"Anolis","carolinensis","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max, min",NA,NA,NA,NA,NA
"Anolis","cooki","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max, min",NA,NA,NA,NA,NA
"Anolis","cristatellus","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max, min",NA,NA,NA,NA,NA
"Anolis","cybotes","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","evermanni","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","frenatus","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","gundlachi","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max, min",NA,NA,NA,NA,NA
"Anolis","krugi","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","lionotus","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max, min",NA,NA,NA,NA,NA
"Anolis","marcanoi","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","oculatus","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","pulchellus","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","roquet","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","semilineatus","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","shrevei","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anolis","stratulus","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max",NA,NA,NA,NA,NA
"Anomalopus","brevicollis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Anomalopus","leuckartii","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Arizona","elegans","Animalia","Chordata","Reptilia","Squamata","Colubridae","max",NA,NA,NA,NA,NA
"Austrelaps","superbus","Animalia","Chordata","Reptilia","Squamata","Elapidae","max, min",NA,NA,NA,NA,NA
"Basiliscus","vittatus","Animalia","Chordata","Reptilia","Squamata","Corytophanidae","max",NA,NA,NA,NA,NA
"Bassiana","duperreyi","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Bassiana","platynota","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Calyptotis","temporalis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Carlia","longipes","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Carlia","munda","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Carlia","pectoralis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Carlia","rhomboidalis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Carlia","vivax","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Chamaeleo","dilepis","Animalia","Chordata","Reptilia","Squamata","Chamaeleonidae","max, min",NA,NA,NA,NA,NA
"Chamaeleo","jacksonii","Animalia","Chordata","Reptilia","Squamata","Chamaeleonidae","max, min",NA,NA,NA,NA,NA
"Charina","bottae","Animalia","Chordata","Reptilia","Squamata","Boidae","max",NA,NA,NA,NA,NA
"Chionactis","occipitalis","Animalia","Chordata","Reptilia","Squamata","Colubridae","max",NA,NA,NA,NA,NA
"Chondrodactylus","angulifer","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","max",NA,NA,NA,NA,NA
"Chondrodactylus","bibronii","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","max",NA,NA,NA,NA,NA
"Coleonyx","brevis","Animalia","Chordata","Reptilia","Squamata","Eublepharidae","max, min",NA,NA,NA,NA,NA
"Coleonyx","variegatus","Animalia","Chordata","Reptilia","Squamata","Eublepharidae","max, min",NA,NA,NA,NA,NA
"Coluber","constrictor","Animalia","Chordata","Reptilia","Squamata","Colubridae","max",NA,NA,NA,NA,NA
"Cophosaurus","texanus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Cordylus","cordylus","Animalia","Chordata","Reptilia","Squamata","Cordylidae","max, min",NA,NA,NA,NA,NA
"Cordylus","niger","Animalia","Chordata","Reptilia","Squamata","Cordylidae","max, min",NA,NA,NA,NA,NA
"Cordylus","oelofseni","Animalia","Chordata","Reptilia","Squamata","Cordylidae","max, min",NA,NA,NA,NA,NA
"Crotalus","atrox","Animalia","Chordata","Reptilia","Squamata","Viperidae","max",NA,NA,NA,NA,NA
"Crotalus","cerastes","Animalia","Chordata","Reptilia","Squamata","Viperidae","max",NA,NA,NA,NA,NA
"Crotalus","scutulatus","Animalia","Chordata","Reptilia","Squamata","Viperidae","max",NA,NA,NA,NA,NA
"Crotalus","viridis","Animalia","Chordata","Reptilia","Squamata","Viperidae","max",NA,NA,NA,NA,NA
"Crotaphytus","collaris","Animalia","Chordata","Reptilia","Squamata","Crotaphytidae","max",NA,NA,NA,NA,NA
"Cryptoblepharus","litoralis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Cryptoblepharus","plagiocephalus","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
