"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name","parameter_tmax_or_tmin","realm_mean_ARR","realm_sd_ARR","realm_n_ARR","class_mean_ARR","class_sd_ARR","class_n_ARR","class_specific","ARR_equ_slope","ARR_equ_int","mean_int_class","mean_int_realm","int"
"Holbrookia","maculata","max",46.5,"ct",34.1,34.1,-103.3,1280,23,39,0.067,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Holbrookia_maculata","Sena_1978",33.20048141,-10.20048141,"Holbrookia maculata","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,44.021447368421,39.5340918339664,37.2276849039965,39.5340918339664
"Hoplodactylus","maculatus","min",1.2,"ct",-45.45,45.45,NA,523,21,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Diplodactylidae","Terrestrial","ectotherm","Hoplodactylus_maculatus","Besson_&_Cree_2007,2011",NA,NA,"Woodworthia maculatus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,-2.7725,2.78138764044944,1.13734758558321,2.78138764044944
"Hyalinobatrachium","fleischmanni","min",2.5,"lt",10,10,NA,1371.6,23,NA,NA,24,"Chordata","Amphibia","Anura","Centrolenidae","Terrestrial","ectotherm","Hyalinobatrachium_fleischmanni","Brattstrom_1968",NA,NA,"Hyalinobatrachium fleischmanni","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,-1.68631944431667,-0.927581699231373,1.13734758558321,-0.927581699231373
"Hyla","aurea","max",36.2,"ct",-38.59,38.59,146.1,304.8,30,20,1,NA,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Hyla_aurea","Brattstrom_1970",25.08243942,4.91756058,"Ranoidea aurea","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,31.4728290452102,31.5985265134056,37.2276849039965,31.5985265134056
"Hyla","caerulea","max",39.3,"ct",-21,21,148.3,304.8,30,20,1,NA,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Hyla_caerulea","Brattstrom_1970",33.04460526,-3.04460526,"Ranoidea caerulea","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,34.5728290452102,31.5985265134056,37.2276849039965,31.5985265134056
"Hyla","chloris","max",38.9,"ct",-17.27,17.27,145.48,731.5,30,20,1,NA,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Hyla_chloris","Brattstrom_1970",33.91498566,-3.91498566,"Ranoidea chloris","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,34.1728290452102,31.5985265134056,37.2276849039965,31.5985265134056
"Hyla","citropa","max",30.7,"ct",-30.5,30.5,152.9,1371.6,5,20,1,NA,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Hyla_citropa","Brattstrom_1970",29.54545021,-24.54545021,"Ranoidea citropa","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,29.9121381742017,31.5985265134056,37.2276849039965,31.5985265134056
"Hyla","lesueuri","max",33.1,"ct",-38,38,148.2,304.8,25,20,1,NA,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Hyla_lesueuri","Brattstrom_1970",26.03037453,-1.03037453,"Ranoidea lesueurii","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,29.1606908710085,31.5985265134056,37.2276849039965,31.5985265134056
"Hyla","phyllochroa","max",29.7,"ct",-38,38,148.2,304.8,5,20,1,NA,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Hyla_phyllochroa","Brattstrom_1970",26.03037453,-21.03037453,"Ranoidea phyllochroa","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,28.9121381742017,31.5985265134056,37.2276849039965,31.5985265134056
"Hylarana","erythraea","max",34.8,"ct",14.09,14.09,121.49,1100,22,22,0.5,NA,"Chordata","Amphibia","Anura","Ranidae","Terrestrial","ectotherm","Hylarana_erythraea","Scheffers_et_al_2014",32.4418602,-10.4418602,"Hylarana erythraea","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,31.3334079664875,31.5985265134056,37.2276849039965,31.5985265134056
"Ischnochiton","australis","max",35.1,"ct",-43,43,148,0,16,20,0.017,NA,"Mollusca","Polyplacophora","Neoloricata","Ischnochitonidae","Intertidal","ectotherm","Ischnochiton_australis","Bates_et_al_2013",19.43999863,-3.43999863,"Ischnochiton australis","tmax",0.327634847626389,0.227531873483291,371,NA,NA,NA,NA,0.327634847626389,29.8578424379778,29.8578424379778,30.0833830033931,29.8578424379778
"Kaloula","kalingensis","max",34.3,"ct",14.09,14.09,121.49,1100,22,22,0.5,NA,"Chordata","Amphibia","Anura","Microhylidae","Terrestrial","ectotherm","Kaloula_kalingensis","Scheffers_et_al_2014",32.4418602,-10.4418602,"Kaloula kalingensis","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,30.8334079664875,31.5985265134056,37.2276849039965,31.5985265134056
"Lacerta","agilis","max",43.9,"ct",48.52,48.52,1.98,137,35,32.5,1,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Lacerta_agilis","Bauwens_et_al_1995",25.30908203,9.69091797,"Lacerta agilis","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.1282894736842,39.5340918339664,37.2276849039965,39.5340918339664
"Lacerta","schreiberi","max",43,"ct",43.13,43.13,-8.08,528,35,32.5,1,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Lacerta_schreiberi","Bauwens_et_al_1995",26.25300026,8.74699974,"Lacerta schreiberi","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,39.2282894736842,39.5340918339664,37.2276849039965,39.5340918339664
"Leptodactylus","pentadactylus","min",6,"lt",9.15,9.15,NA,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Leptodactylidae","Terrestrial","ectotherm","Leptodactylus_pentadactylus","Brattstrom_1968",NA,NA,"Leptodactylus pentadactylus","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,1.81368055568333,-0.927581699231373,1.13734758558321,-0.927581699231373
"Limatula","hodgsoni","max",12.7,"ct",-77.85,77.85,166.67,0,26,-1.7,0.00069,NA,"Mollusca","Bivalvia","Limoida","Limidae","Marine","ectotherm","Limatula_hodgsoni","Morley_et_al_2016",0,26,"Limatula hodgsoni","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,9.06,27.8706666666667,24.0662256604722,27.8706666666667
"Limnodynastes","dorsalis","max",36.5,"ct",-31.1,31.1,150.93,609.6,30,20,1,NA,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","ectotherm","Limnodynastes_dorsalis","Brattstrom_1970",30.00385666,-0.00385666,"Limnodynastes dorsalis","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,31.7728290452102,31.5985265134056,37.2276849039965,31.5985265134056
"Limnodynastes","fletcheri","max",28.3,"ct",-31.55,31.55,147.2,304.8,5,20,1,NA,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","ectotherm","Limnodynastes_fletcheri","Brattstrom_1970",34.49520493,-29.49520493,"Limnodynastes fletcheri","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,27.5121381742017,31.5985265134056,37.2276849039965,31.5985265134056
"Limnodynastes","tasmaniensis","max",34.9,"ct",-38,38,142.5,304.8,25,20,1,NA,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","ectotherm","Limnodynastes_tasmaniensis","Brattstrom_1970",24.16413116,0.83586884,"Limnodynastes tasmaniensis","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,30.9606908710085,31.5985265134056,37.2276849039965,31.5985265134056
"Limnonectes","woodworthi","max",35.9,"ct",14.09,14.09,121.49,1100,22,22,0.5,NA,"Chordata","Amphibia","Anura","Dicroglossidae","Terrestrial","ectotherm","Limnonectes_woodworthi","Scheffers_et_al_2014",32.4418602,-10.4418602,"Limnonectes woodworthi","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,32.4334079664875,31.5985265134056,37.2276849039965,31.5985265134056
"Linepithema","humile","max",37.7,"ct",-33.92,33.92,18.87,136,20,20,0.05,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Linepithema_humile","Jumbam_et_al_2008ab",29.00185776,-9.00185776,"Linepithema humile","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,35.4941852684551,40.0134976045186,37.2276849039965,40.0134976045186
"Linepithema","humile","min",-0.1,"ct",-33.92,33.92,18.87,136,20,20,0.05,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Linepithema_humile","Jumbam_et_al_2008ab",6.105827808,13.89417219,"Linepithema humile","tmin",0.1573876403802,0.112913726528327,50,0.138109030264777,0.114853130149162,30,"TRUE",0.138109030264777,-2.86218060529555,-0.190738241697436,1.13734758558321,-0.190738241697436
"Liocarcinus","marmoreus","max",32.2,"ct",38,38,-9,0,24,24,0.017,NA,"Arthropoda","Malacostraca","Decapoda","Polybiidae","Marine","ectotherm","Liocarcinus_marmoreus","Madeira_et_al_2012",22.84000015,1.15999985,"Liocarcinus marmoreus","tmax",0.327634847626389,0.227531873483291,371,0.305662878787879,0.157352590829053,44,"TRUE",0.305662878787879,24.8640909090909,28.1471105587121,24.0662256604722,28.1471105587121
"Liolaemus","abaucan","max",47.3,"ct",-27.25,27.25,-67.42,1200,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_abaucan","Cruz_et_al_2005",22.52122307,6.47877693,"Liolaemus abaucan","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,44.1748684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","abaucan","min",15.41,"ct",-27.25,27.25,-67.42,1200,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_abaucan","Cruz_et_al_2005",-5.223344326,34.22334433,"Liolaemus abaucan","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,9.92416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","albiceps","max",44.33,"ct",-24.32,24.32,-66.15,3060,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_albiceps","Cruz_et_al_2005",19.91906357,9.08093643,"Liolaemus albiceps","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.2048684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","albiceps","min",7.05,"ct",-24.32,24.32,-66.15,3060,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_albiceps","Cruz_et_al_2005",-7.713224411,36.71322441,"Liolaemus albiceps","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,1.56416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","altissimus","min",3.99,"ct",-33.4,33.4,NA,2850,20,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_altissimus","Carothers_et_al_1997",NA,NA,"Liolaemus altissimus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,0.206666666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","bibronii","max",44.53,"ct",-40.27,40.27,-68.23,0,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_bibronii","Cruz_et_al_2005",27.77931976,1.22068024,"Liolaemus bibronii","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.4048684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","bibronii","min",8.49,"ct",-40.27,40.27,-68.23,0,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_bibronii","Cruz_et_al_2005",-2.894165277,31.89416528,"Liolaemus bibronii","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,3.00416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","boulengeri","max",43.99,"ct",-42.39,42.39,-64.59,0,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_boulengeri","Cruz_et_al_2005",29.07946014,-0.07946014,"Liolaemus boulengeri","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.8648684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","boulengeri","min",9.4,"ct",-42.39,42.39,-64.59,0,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_boulengeri","Cruz_et_al_2005",0.697304547,28.30269545,"Liolaemus boulengeri","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,3.91416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","canqueli","max",44.6,"ct",-44.04,44.04,-68.36,900,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_canqueli","Cruz_et_al_2005",25.18285942,3.81714058,"Liolaemus canqueli","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.4748684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","canqueli","min",6.99,"ct",-44.04,44.04,-68.36,900,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_canqueli","Cruz_et_al_2005",-2.185246706,31.18524671,"Liolaemus canqueli","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,1.50416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","capillitas","max",43.7,"ct",-29.73,29.73,-67.75,2500,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_capillitas","Cruz_et_al_2005",31.93452835,-2.93452835,"Liolaemus capillitas","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.5748684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","capillitas","min",7.47,"ct",-29.73,29.73,-67.75,2500,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_capillitas","Cruz_et_al_2005",-0.380450398,29.3804504,"Liolaemus capillitas","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,1.98416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","chacoensis","max",44.1,"ct",-28.8,28.8,-66.94,700,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_chacoensis","Cruz_et_al_2005",30.07898331,-1.07898331,"Liolaemus chacoensis","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.9748684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","chacoensis","min",14.9,"ct",-28.8,28.8,-66.94,700,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_chacoensis","Cruz_et_al_2005",-1.506476521,30.50647652,"Liolaemus chacoensis","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,9.41416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","chiliensis","min",3.68,"ct",-33.4,33.4,NA,1500,20,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_chiliensis","Carothers_et_al_1997",NA,NA,"Liolaemus chiliensis","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,-0.103333333333333,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","cuyanus","max",45.7,"ct",-28.18,28.18,-67.11,400,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_cuyanus","Cruz_et_al_2005",27.44265747,1.55734253,"Liolaemus cuyanus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,42.5748684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","cuyanus","min",12,"ct",-28.18,28.18,-67.11,400,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_cuyanus","Cruz_et_al_2005",-2.051629782,31.05162978,"Liolaemus cuyanus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,6.51416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","darwinii","max",44.68,"ct",-29.51,29.51,-67.57,800,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_darwinii","Cruz_et_al_2005",31.93452835,-2.93452835,"Liolaemus darwinii","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.5548684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","darwinii","min",10.11,"ct",-29.51,29.51,-67.57,800,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_darwinii","Cruz_et_al_2005",-0.380450398,29.3804504,"Liolaemus darwinii","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,4.62416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","dorbignyi","max",43.91,"ct",-24.14,24.14,-66.67,3200,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_dorbignyi","Cruz_et_al_2005",19.91906357,9.08093643,"Liolaemus dorbignyi","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.7848684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","dorbignyi","min",8.83,"ct",-24.14,24.14,-66.67,3200,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_dorbignyi","Cruz_et_al_2005",-7.713224411,36.71322441,"Liolaemus dorbignyi","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,3.34416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","elongatus","max",45.1,"ct",-41.88,41.88,-69.37,700,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_elongatus","Cruz_et_al_2005",24.7057724,4.2942276,"Liolaemus elongatus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.9748684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","elongatus","min",7.68,"ct",-41.88,41.88,-69.37,700,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_elongatus","Cruz_et_al_2005",-5.264298439,34.26429844,"Liolaemus elongatus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,2.19416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","fitzingerii","max",44.45,"ct",-43.49,43.49,-65.47,0,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_fitzingerii","Cruz_et_al_2005",25.87751007,3.12248993,"Liolaemus fitzingerii","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.3248684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","fitzingerii","min",8.24,"ct",-43.49,43.49,-65.47,0,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_fitzingerii","Cruz_et_al_2005",2.020338535,26.97966147,"Liolaemus fitzingerii","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,2.75416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","fuscus","min",3.99,"ct",-33.4,33.4,NA,1200,20,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_fuscus","Carothers_et_al_1997",NA,NA,"Liolaemus fuscus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,0.206666666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","irregularis","max",44.98,"ct",-24.25,24.25,-66.35,3060,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_irregularis","Cruz_et_al_2005",19.91906357,9.08093643,"Liolaemus irregularis","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.8548684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","irregularis","min",6.96,"ct",-24.25,24.25,-66.35,3060,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_irregularis","Cruz_et_al_2005",-7.713224411,36.71322441,"Liolaemus irregularis","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,1.47416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","kingii","max",44.5,"ct",-45.41,45.41,-67.56,0,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_kingii","Cruz_et_al_2005",24.66710854,4.33289146,"Liolaemus kingii","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.3748684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","kingii","min",7.01,"ct",-45.41,45.41,-67.56,0,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_kingii","Cruz_et_al_2005",0.600426853,28.39957315,"Liolaemus kingii","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,1.52416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","koslowskyi","max",46.1,"ct",-28.8,28.8,-66.56,800,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_koslowskyi","Cruz_et_al_2005",33.25374985,-4.25374985,"Liolaemus koslowskyi","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,42.9748684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","koslowskyi","min",13.22,"ct",-28.8,28.8,-66.56,800,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_koslowskyi","Cruz_et_al_2005",3.15231657,25.84768343,"Liolaemus koslowskyi","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,7.73416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","kriegi","max",43.67,"ct",-42.08,42.08,-69.52,950,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_kriegi","Cruz_et_al_2005",23.17560577,5.82439423,"Liolaemus kriegi","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.5448684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","kriegi","min",7.6,"ct",-42.08,42.08,-69.52,950,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_kriegi","Cruz_et_al_2005",-4.149082184,33.14908218,"Liolaemus kriegi","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,2.11416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","laurenti","max",46.18,"ct",-30.12,30.12,-67.4,800,29,18,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_laurenti","Cruz_et_al_2005",31.93452835,-2.93452835,"Liolaemus laurenti","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,43.0548684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Liolaemus","laurenti","min",12.2,"ct",-30.12,30.12,-67.4,800,29,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_laurenti","Cruz_et_al_2005",-0.380450398,29.3804504,"Liolaemus laurenti","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,6.71416666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","lemniscatus","min",5.95,"ct",-33.4,33.4,NA,1200,20,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_lemniscatus","Carothers_et_al_1997",NA,NA,"Liolaemus lemniscatus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,2.16666666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Liolaemus","leopardinus","min",2.63,"ct",-33.67,33.67,NA,2850,20,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Liolaemus_leopardinus","Carothers_et_al_1997",NA,NA,"Liolaemus leopardinus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,-1.15333333333333,2.78138764044944,1.13734758558321,2.78138764044944
