Genus,Species,type,thermal_limit,metric,collection_latitude,absolute_latitude,collection_longitude,elevation,acclimation_temperature,start_temp,ramping_rate,exposure_duration,Phylum,Class,Order,Family,realm,thermy,genus_species,reference,extreme_enviro_temp,acclimation_offset
Anas,aucklandica,min,30,TNZ,-40.7,40.7,175.6,NA,NA,NA,NA,NA,Chordata,Aves,Anseriformes,Anatidae,Terrestrial,endotherm,Anas_aucklandica,McNab_2003,5.553198814,NA
Anas,castanea,min,24,TNZ,-40.7,40.7,NA,NA,NA,NA,NA,NA,Chordata,Aves,Anseriformes,Anatidae,Terrestrial,endotherm,Anas_castanea,McNab_2003,NA,NA
Anas,gracilis,max,39,TNZ,-40.7,40.7,175.6,NA,NA,NA,NA,NA,Chordata,Aves,Anseriformes,Anatidae,Terrestrial,endotherm,Anas_gracilis,McNab_2003,20.9448185,NA
Anas,gracilis,min,30,TNZ,-40.7,40.7,175.6,NA,NA,NA,NA,NA,Chordata,Aves,Anseriformes,Anatidae,Terrestrial,endotherm,Anas_gracilis,McNab_2003,5.553198814,NA
Anas,rhynchotis,min,22,TNZ,-40.7,40.7,NA,NA,NA,NA,NA,NA,Chordata,Aves,Anseriformes,Anatidae,Terrestrial,endotherm,Anas_rhynchotis,McNab_2003,NA,NA
Anax,junius,max,45.6,ct,29.6,29.6,-82.3,55,25,NA,NA,NA,Arthropoda,Insecta,Odonata,Aeshnidae,Terrestrial,ectotherm,Anax_junius,May_1976,34.67346191,-9.67346191
Anaxyrus,compactilis,max,36.9,ct,22,22,-102,1524,30,23,1,NA,Chordata,Amphibia,Anura,Bufonidae,Terrestrial,ectotherm,Anaxyrus_compactilis,Brattstrom_1968,29.8943119,0.1056881
Anguilla,australis,max,39.7,LT50,-36.6,36.6,174.5,37,15,NA,NA,0.167,Chordata,Actinopteri,Anguilliformes,Anguillidae,Freshwater,ectotherm,Anguilla_australis,Richardson_et_al_1994,22.82798958,-7.82798958
Anguilla,dieffenbachii,max,37.3,LT50,-36.6,36.6,174.5,37,15,NA,NA,0.167,Chordata,Actinopteri,Anguilliformes,Anguillidae,Freshwater,ectotherm,Anguilla_dieffenbachii,Richardson_et_al_1994,22.82798958,-7.82798958
Anisotome,imbricata,min,-8.2,LT50,-45.4,45.4,NA,1240,NA,0.083,NA,8,Streptophyta,Spermatophyta,Apiales,Apiaceae,Terrestrial,plant,Anisotome_imbricata,Bannister_et_al_2005,NA,NA
Anniella,pulchra,max,34,ct,34.01,34.01,-118.81,38,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Anniellidae,Terrestrial,ectotherm,Anniella_pulchra,Brattstrom_1965,30.25820732,NA
Anodontia,bullula,max,36.31,LT50,-17,17,122,0,25,NA,NA,24,Mollusca,Bivalvia,Lucinoida,Lucinidae,Intertidal,ectotherm,Anodontia_bullula,Compton_et_al2007,31.47999954,-6.47999954
Anodontia,bullula,min,7.17,LT50,-17,17,122,0,25,NA,NA,24,Mollusca,Bivalvia,Lucinoida,Lucinidae,Intertidal,ectotherm,Anodontia_bullula,Compton_et_al2007,23.37999916,1.62000084
Anolis,auratus,max,40,ct,9.16,9.16,-79.84,79,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Anolis_auratus,Ballinger_et_al_1970,31.81584358,NA
Anolis,barbouri,max,34.9,ct,18.25,18.25,-71.22,12,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Anolis_barbouri,Autumn_&_Losos_1997,31.87837982,NA
Anolis,barbouri,min,11.7,ct,18.25,18.25,-71.22,13,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Anolis_barbouri,Autumn_&_Losos_1997,17.03912735,NA
Anolis,carolinensis,max,41.7,ct,31.32,31.32,-91.53,0,NA,NA,1,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Anolis_carolinensis,vanBerkum_1988,34.18352509,NA
Anolis,carolinensis,min,4.7,ct,31.32,31.32,-91.53,0,NA,NA,1,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Anolis_carolinensis,vanBerkum_1988,2.63240695,NA
Anolis,cooki,max,38.8,ct,18.1,18.1,-66.9,0,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Anolis_cooki,Huey_unpubl_data_in_Huey_et_al_2012,31.83048439,NA
Anolis,cooki,min,9.3,ct,18.1,18.1,-66.9,0,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Anolis_cooki,Huey_unpubl_data_in_Huey_et_al_2012,19.6760807,NA
Anolis,cristatellus,max,37.1,ct,18.5,18.5,-66.14,6.5,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Anolis_cristatellus,Huey_unpubl_data_in_Huey_et_al_2012,31.60007858,NA
Anolis,cristatellus,min,8.9,ct,18.5,18.5,-66.14,5.6,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Anolis_cristatellus,Huey_1983,18.81883621,NA
