"Genus","Species","Class","Order","Family","genus_species"
"Liolaemus","dorbignyi","Reptilia","Squamata","Iguanidae","Liolaemus dorbignyi"
"Liolaemus","elongatus","Reptilia","Squamata","Iguanidae","Liolaemus elongatus"
"Liolaemus","fitzingerii","Reptilia","Squamata","Iguanidae","Liolaemus fitzingerii"
"Liolaemus","irregularis","Reptilia","Squamata","Iguanidae","Liolaemus irregularis"
"Liolaemus","kingii","Reptilia","Squamata","Iguanidae","Liolaemus kingii"
"Liolaemus","koslowskyi","Reptilia","Squamata","Iguanidae","Liolaemus koslowskyi"
"Liolaemus","kriegi","Reptilia","Squamata","Iguanidae","Liolaemus kriegi"
"Liolaemus","laurenti","Reptilia","Squamata","Iguanidae","Liolaemus laurenti"
"Liolaemus","melanops","Reptilia","Squamata","Iguanidae","Liolaemus melanops"
"Liolaemus","multicolor","Reptilia","Squamata","Iguanidae","Liolaemus multicolor"
"Liolaemus","multimaculatus","Reptilia","Squamata","Iguanidae","Liolaemus multimaculatus"
"Liolaemus","olongasta","Reptilia","Squamata","Iguanidae","Liolaemus olongasta"
"Liolaemus","petrophilus","Reptilia","Squamata","Iguanidae","Liolaemus petrophilus"
"Liolaemus","poecilochromus","Reptilia","Squamata","Iguanidae","Liolaemus poecilochromus"
"Liolaemus","pseudoanomalus","Reptilia","Squamata","Iguanidae","Liolaemus pseudoanomalus"
"Liolaemus","quilmes","Reptilia","Squamata","Iguanidae","Liolaemus quilmes"
"Liolaemus","riojanus","Reptilia","Squamata","Iguanidae","Liolaemus riojanus"
"Liolaemus","robertmertensi","Reptilia","Squamata","Iguanidae","Liolaemus robertmertensi"
"Liolaemus","rothi","Reptilia","Squamata","Iguanidae","Liolaemus rothi"
"Liolaemus","salinicola","Reptilia","Squamata","Iguanidae","Liolaemus salinicola"
"Liolaemus","scapularis","Reptilia","Squamata","Iguanidae","Liolaemus scapularis"
"Liolaemus","telsen","Reptilia","Squamata","Iguanidae","Liolaemus telsen"
"Liolaemus","xanthoviridis","Reptilia","Squamata","Iguanidae","Liolaemus xanthoviridis"
"Liothyrella","neozelanica","Rhynchonellata","Terebratulida","Terebratulidae","Liothyrella neozelanica"
"Liothyrella","uva","Articulata","Terebratulida","Terebratulidae","Liothyrella uva"
"Lipinia","pulchella","Reptilia","Squamata","Scincidae","Lipinia pulchella"
"Lipophrys","trigloides","Actinopterygii","Perciformes","Blenniidae","Lipophrys trigloides"
"Litoria","gracilenta","Amphibia","Anura","Hylidae","Litoria gracilenta"
"Littorina","littorea","Gastropoda","Neotaenioglossa","Littorinidae","Littorina littorea"
