"binomial","acc_name"
"Thamnophis ordinoides","Thamnophis ordinoides"
"Thamnophis radix","Thamnophis radix"
"Thamnophis sirtalis","Thamnophis sirtalis"
"Tlalocohyla smithii","Tlalocohyla smithii"
"Trachemys scripta","Trachemys scripta"
"Urosaurus ornatus","Urosaurus ornatus"
"Uta stansburiana","Uta stansburiana"
"Xantusia henshawi","Xantusia henshawi"
"Xantusia riversiana","Xantusia riversiana"
"Xantusia vigilis","Xantusia vigilis"
"Abra tenuis","Abra tenuis"
"Agosia chrysogaster","Agosia chrysogaster"
"Agroeca proxima","Agroeca proxima"
"Alosa pseudoharengus","Alosa pseudoharengus"
"Amblyopone pallipes","Amblyopone pallipes"
"Ameiva festiva","Ameiva festiva"
"Amphibolurus muricatus","Amphibolurus muricatus"
"Anguilla australis","Anguilla australis"
"Anguilla dieffenbachii","Anguilla dieffenbachii"
"Anolis auratus","Anolis auratus"
"Anolis barbouri","Anolis barbouri"
"Anolis cupreus","Anolis cupreus"
"Anolis frenatus","Anolis frenatus"
"Anolis humilis","Anolis humilis"
"Anolis intermedius","Anolis intermedius"
"Anolis limifrons","Anolis limifrons"
"Anolis lionotus","Anolis lionotus"
"Anolis marcanoi","Anolis marcanoi"
"Anolis oculatus","Anolis oculatus"
"Anolis roquet","Anolis roquet"
"Anolis semilineatus","Anolis semilineatus"
"Anolis shrevei","Anolis shrevei"
"Anolis tropidogaster","Anolis tropidogaster"
"Anolis tropidolepis","Anolis tropidolepis"
"Apeltes quadracus","Apeltes quadracus"
"Aphaenogaster fulva","Aphaenogaster fulva"
"Aphaenogaster lamellidens","Aphaenogaster lamellidens"
"Apogon dovii","Apogon dovii"
"Arizona elegans","Arizona elegans"
"Armadillidium vulgare","Armadillidium vulgare"
"Balanus crenatus","Balanus crenatus"
"Basiliscus vittatus","Basiliscus vittatus"
"Bathygobius fuscus","Bathygobius fuscus"
"Bathygobius ramosus","Bathygobius ramosus"
"Bathygobius soporator","Bathygobius soporator"
"Boreogadus saida","Boreogadus saida"
"Bugula californica","Bugula californica"
"Calathus melanocephalus","Calathus melanocephalus"
"Camponotus castaneus","Camponotus castaneus"
"Camponotus cruentatus","Camponotus cruentatus"
"Camponotus detritus","Camponotus detritus"
"Camponotus foreli","Camponotus foreli"
"Camponotus herculeanus","Camponotus herculeanus"
"Camponotus pennsylvanicus","Camponotus pennsylvanicus"
"Camponotus sylvaticus","Camponotus sylvaticus"
"Campostoma anomalum","Campostoma anomalum"
"Cataglyphis bicolor","Cataglyphis bicolor"
"Cataglyphis cursor","Cataglyphis cursor"
"Cataulacus horridus","Cataulacus horridus"
"Catostomus snyderi","Catostomus snyderi"
"Chamaeleo dilepis","Chamaeleo dilepis"
"Chasmistes brevirostris","Chasmistes brevirostris"
"Cheimarrichthys fosteri","Cheimarrichthys fosteri"
"Chondrodactylus angulifer","Chondrodactylus angulifer"
"Chromis atrilobata","Chromis atrilobata"
"Chrysemys picta","Chrysemys picta"
"Chrysomela aeneicollis","Chrysomela aeneicollis"
"Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus"
"Clinocottus globiceps","Clinocottus globiceps"
"Clubiona diversa","Clubiona diversa"
"Clubiona similis","Clubiona similis"
"Clubiona trivialis","Clubiona trivialis"
"Clupea harengus","Clupea harengus"
"Cnemidophorus tigris","Cnemidophorus tigris"
"Coluber constrictor","Coluber constrictor"
"Cophixalus aenigma","Cophixalus aenigma"
"Cophixalus bombiens","Cophixalus bombiens"
"Cophixalus exiguus","Cophixalus exiguus"
"Cophixalus hosmeri","Cophixalus hosmeri"
"Cophixalus mcdonaldi","Cophixalus mcdonaldi"
"Cophixalus neglectus","Cophixalus neglectus"
"Coptotermes formosanus","Coptotermes formosanus"
"Cordylus niger","Cordylus niger"
"Cordylus oelofseni","Cordylus oelofseni"
"Coryphopterus urospilus","Coryphopterus urospilus"
"Crematogaster lineolata","Crematogaster lineolata"
