"longitude","latitude","mean_temp"
-176.5,11.5,NA
-176.5,12.5,NA
-176.5,13.5,NA
-176.5,14.5,NA
-176.5,15.5,NA
-176.5,16.5,NA
-176.5,17.5,NA
-176.5,18.5,NA
-176.5,19.5,NA
-176.5,20.5,NA
-176.5,21.5,NA
-176.5,22.5,NA
-176.5,23.5,NA
-176.5,24.5,NA
-176.5,25.5,NA
-176.5,26.5,NA
-176.5,27.5,NA
-176.5,28.5,NA
-176.5,29.5,NA
-176.5,30.5,NA
-176.5,31.5,NA
-176.5,32.5,NA
-176.5,33.5,NA
-176.5,34.5,NA
-176.5,35.5,NA
-176.5,36.5,NA
-176.5,37.5,NA
-176.5,38.5,NA
-176.5,39.5,NA
-176.5,40.5,NA
-176.5,41.5,NA
-176.5,42.5,NA
-176.5,43.5,NA
-176.5,44.5,NA
-176.5,45.5,NA
-176.5,46.5,NA
-176.5,47.5,NA
-176.5,48.5,NA
-176.5,49.5,NA
-176.5,50.5,NA
-176.5,51.5,4.9913525751372
-176.5,52.5,NA
-176.5,53.5,NA
-176.5,54.5,NA
-176.5,55.5,NA
-176.5,56.5,NA
-176.5,57.5,NA
-176.5,58.5,NA
-176.5,59.5,NA
-176.5,60.5,NA
-176.5,61.5,NA
-176.5,62.5,NA
-176.5,63.5,NA
-176.5,64.5,NA
-176.5,65.5,-5.05118232026561
-176.5,66.5,-7.93532933381479
-176.5,67.5,-7.95095794473998
-176.5,68.5,NA
-176.5,69.5,NA
-176.5,70.5,NA
-176.5,71.5,NA
-176.5,72.5,NA
-176.5,73.5,NA
-176.5,74.5,NA
-176.5,75.5,NA
-176.5,76.5,NA
-176.5,77.5,NA
-176.5,78.5,NA
-176.5,79.5,NA
-176.5,80.5,NA
-176.5,81.5,NA
-176.5,82.5,NA
-176.5,83.5,NA
-176.5,84.5,NA
-176.5,85.5,NA
-176.5,86.5,NA
-176.5,87.5,NA
-176.5,88.5,NA
-176.5,89.5,NA
-175.5,-89.5,-48.8977733880368
-175.5,-88.5,-49.6320984863895
-175.5,-87.5,-46.9749321027566
-175.5,-86.5,-43.4701546487797
-175.5,-85.5,-35.9893718625604
-175.5,-84.5,-24.8732718109038
-175.5,-83.5,-24.5682502824914
-175.5,-82.5,-26.6690358156227
-175.5,-81.5,-27.7864238419136
-175.5,-80.5,-28.3376610159582
-175.5,-79.5,-27.9978087102433
-175.5,-78.5,-26.1789343673028
-175.5,-77.5,NA
-175.5,-76.5,NA
-175.5,-75.5,NA
-175.5,-74.5,NA
-175.5,-73.5,NA
-175.5,-72.5,NA
-175.5,-71.5,NA
-175.5,-70.5,NA
-175.5,-69.5,NA
-175.5,-68.5,NA
-175.5,-67.5,NA
-175.5,-66.5,NA
-175.5,-65.5,NA
-175.5,-64.5,NA
-175.5,-63.5,NA
-175.5,-62.5,NA
-175.5,-61.5,NA
-175.5,-60.5,NA
-175.5,-59.5,NA
-175.5,-58.5,NA
-175.5,-57.5,NA
-175.5,-56.5,NA
-175.5,-55.5,NA
-175.5,-54.5,NA
-175.5,-53.5,NA
-175.5,-52.5,NA
-175.5,-51.5,NA
-175.5,-50.5,NA
-175.5,-49.5,NA
-175.5,-48.5,NA
-175.5,-47.5,NA
-175.5,-46.5,NA
-175.5,-45.5,NA
-175.5,-44.5,NA
-175.5,-43.5,NA
-175.5,-42.5,NA
-175.5,-41.5,NA
-175.5,-40.5,NA
-175.5,-39.5,NA
-175.5,-38.5,NA
-175.5,-37.5,NA
-175.5,-36.5,NA
-175.5,-35.5,NA
-175.5,-34.5,NA
-175.5,-33.5,NA
-175.5,-32.5,NA
-175.5,-31.5,NA
-175.5,-30.5,NA
-175.5,-29.5,NA
-175.5,-28.5,NA
-175.5,-27.5,NA
-175.5,-26.5,NA
-175.5,-25.5,NA
-175.5,-24.5,NA
-175.5,-23.5,NA
-175.5,-22.5,NA
-175.5,-21.5,NA
-175.5,-20.5,NA
-175.5,-19.5,NA
-175.5,-18.5,NA
-175.5,-17.5,NA
-175.5,-16.5,NA
-175.5,-15.5,NA
-175.5,-14.5,NA
-175.5,-13.5,NA
-175.5,-12.5,NA
-175.5,-11.5,NA
-175.5,-10.5,NA
-175.5,-9.5,NA
-175.5,-8.5,NA
-175.5,-7.5,NA
-175.5,-6.5,NA
-175.5,-5.5,NA
-175.5,-4.5,NA
-175.5,-3.5,NA
-175.5,-2.5,NA
-175.5,-1.5,NA
-175.5,-0.5,NA
-175.5,0.5,NA
-175.5,1.5,NA
-175.5,2.5,NA
-175.5,3.5,NA
-175.5,4.5,NA
-175.5,5.5,NA
-175.5,6.5,NA
-175.5,7.5,NA
-175.5,8.5,NA
-175.5,9.5,NA
-175.5,10.5,NA
-175.5,11.5,NA
-175.5,12.5,NA
-175.5,13.5,NA
-175.5,14.5,NA
-175.5,15.5,NA
-175.5,16.5,NA
-175.5,17.5,NA
-175.5,18.5,NA
-175.5,19.5,NA
-175.5,20.5,NA
-175.5,21.5,NA
-175.5,22.5,NA
-175.5,23.5,NA
-175.5,24.5,NA
-175.5,25.5,NA
-175.5,26.5,NA
-175.5,27.5,NA
-175.5,28.5,NA
-175.5,29.5,NA
-175.5,30.5,NA
-175.5,31.5,NA
-175.5,32.5,NA
-175.5,33.5,NA
-175.5,34.5,NA
-175.5,35.5,NA
-175.5,36.5,NA
-175.5,37.5,NA
-175.5,38.5,NA
-175.5,39.5,NA
-175.5,40.5,NA
-175.5,41.5,NA
-175.5,42.5,NA
-175.5,43.5,NA
-175.5,44.5,NA
-175.5,45.5,NA
-175.5,46.5,NA
-175.5,47.5,NA
-175.5,48.5,NA
-175.5,49.5,NA
-175.5,50.5,NA
-175.5,51.5,NA
-175.5,52.5,NA
-175.5,53.5,NA
-175.5,54.5,NA
-175.5,55.5,NA
-175.5,56.5,NA
-175.5,57.5,NA
-175.5,58.5,NA
-175.5,59.5,NA
-175.5,60.5,NA
-175.5,61.5,NA
-175.5,62.5,NA
-175.5,63.5,NA
-175.5,64.5,-3.12960322678172
-175.5,65.5,-5.67860076464091
-175.5,66.5,-7.61219972821057
-175.5,67.5,-7.98221184697642
-175.5,68.5,NA
-175.5,69.5,NA
-175.5,70.5,NA
-175.5,71.5,NA
-175.5,72.5,NA
-175.5,73.5,NA
-175.5,74.5,NA
-175.5,75.5,NA
-175.5,76.5,NA
-175.5,77.5,NA
-175.5,78.5,NA
-175.5,79.5,NA
-175.5,80.5,NA
-175.5,81.5,NA
-175.5,82.5,NA
-175.5,83.5,NA
-175.5,84.5,NA
-175.5,85.5,NA
-175.5,86.5,NA
-175.5,87.5,NA
-175.5,88.5,NA
-175.5,89.5,NA
-174.5,-89.5,-48.8704839154048
-174.5,-88.5,-49.6084522957322
-174.5,-87.5,-46.7409998017545
-174.5,-86.5,-43.1542359181208
-174.5,-85.5,-38.9588499539148
-174.5,-84.5,-25.6089956062412
-174.5,-83.5,-24.5681876955729
-174.5,-82.5,-26.7326595493011
-174.5,-81.5,-27.7956187388404
-174.5,-80.5,-28.3289798456925
-174.5,-79.5,-27.9318762156631
-174.5,-78.5,-26.1097095270799
-174.5,-77.5,NA
-174.5,-76.5,NA
-174.5,-75.5,NA
-174.5,-74.5,NA
-174.5,-73.5,NA
-174.5,-72.5,NA
-174.5,-71.5,NA
-174.5,-70.5,NA
-174.5,-69.5,NA
-174.5,-68.5,NA
-174.5,-67.5,NA
-174.5,-66.5,NA
-174.5,-65.5,NA
-174.5,-64.5,NA
-174.5,-63.5,NA
-174.5,-62.5,NA
-174.5,-61.5,NA
-174.5,-60.5,NA
-174.5,-59.5,NA
-174.5,-58.5,NA
-174.5,-57.5,NA
-174.5,-56.5,NA
-174.5,-55.5,NA
-174.5,-54.5,NA
-174.5,-53.5,NA
-174.5,-52.5,NA
-174.5,-51.5,NA
-174.5,-50.5,NA
-174.5,-49.5,NA
-174.5,-48.5,NA
-174.5,-47.5,NA
-174.5,-46.5,NA
-174.5,-45.5,NA
-174.5,-44.5,NA
-174.5,-43.5,NA
-174.5,-42.5,NA
-174.5,-41.5,NA
-174.5,-40.5,NA
-174.5,-39.5,NA
-174.5,-38.5,NA
-174.5,-37.5,NA
-174.5,-36.5,NA
-174.5,-35.5,NA
-174.5,-34.5,NA
-174.5,-33.5,NA
-174.5,-32.5,NA
-174.5,-31.5,NA
-174.5,-30.5,NA
-174.5,-29.5,NA
-174.5,-28.5,NA
-174.5,-27.5,NA
-174.5,-26.5,NA
-174.5,-25.5,NA
-174.5,-24.5,NA
-174.5,-23.5,NA
-174.5,-22.5,NA
-174.5,-21.5,NA
-174.5,-20.5,NA
-174.5,-19.5,NA
-174.5,-18.5,NA
-174.5,-17.5,NA
-174.5,-16.5,NA
-174.5,-15.5,NA
-174.5,-14.5,NA
-174.5,-13.5,NA
-174.5,-12.5,NA
