"range","high_or_low","temps","type","dormancy","realm"
"Gobius_cobitis_GBIF","high",2.93999981880188,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.99000000953674,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.26999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.08999991416931,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.03999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.00999999046326,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.51999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.54999995231628,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.43999993801117,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.52999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.01999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.53999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.64999997615814,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.49000000953674,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.1599999666214,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.9799998998642,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.01999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.18999981880188,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.67999982833862,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.87999987602234,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.04999995231628,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.69000005722046,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.24000000953674,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.47000002861023,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.12999987602234,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.43999981880188,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.40000009536743,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.26999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.1399998664856,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.5,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.27999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.86999988555908,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.26999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.5499997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.25999975204468,"potential_reg","none","Intertidal"
