"Realm","Class","Order","Family","Genus","Species","Tmin","Tmax","Metric_Tmin","Metric_Tmax","RealizedRangeSource","AbsLatitude","RangeSize","LogBodySize","DispersalDistance","HotSeasonDormancy","ColdSeasonDormancy","NicheFilling_Warm","NicheFilling_Cool","LogRangeFilling","EquatorwardBiasInUnderfilling","NicheFilling_Warm_Behaviour","NicheFilling_Warm_Acclimation","NicheFilling_Cool_Acclimation","LogRangeFilling_Acclimation","EquatorwardBiasInUnderfilling_Acclimation"
"Marine","Actinopterygii","Perciformes","Labridae","Tautogolabrus","adspersus",0.6,30,"lt","lt","IUCN",48.2400285635001,48,3.63758615972639,100,"No","No",0.629999160766602,2.4099999666214,NA,NA,NA,-3.12,1.92,NA,NA
"Marine","Actinopterygii","Perciformes","Labridae","Thalassoma","lucasanum",16.3,36,"ct","ct","IUCN",8.63012459700005,46,2.70805020110221,1000,"No","No",-1.3899993896485,4.7199993133545,-4.82576503757929,0.0102053884005318,NA,-2.31,1.04,-4.35577030010733,0.00856374837425478
"Marine","Actinopterygii","Perciformes","Labridae","Thalassoma","lucasanum",16.3,36,"ct","ct","IUCN",8.63012459700005,46,2.70805020110221,1000,"No","No",-1.3899993896485,4.7199993133545,-4.82576503757929,0.0102053884005318,NA,-2.31,1.04,-4.35577030010733,0.00856374837425478
"Marine","Actinopterygii","Perciformes","Labrisomidae","Malacoctenus","zonifer",12.5,38.2,"ct","ct","IUCN",11.1551247375,25,2.07944154167984,10,"No","No",-2.310001373291,-1.5799999237061,-4.95102682249094,0.00433982790096132,NA,-2.31,-6.59,-5.0998664278242,0.00297940701127297
"Marine","Actinopterygii","Perciformes","Labrisomidae","Malacoctenus","zonifer",12.5,38.2,"ct","ct","IUCN",11.1551247375,25,2.07944154167984,10,"No","No",-2.310001373291,-1.5799999237061,-4.95102682249094,0.00433982790096132,NA,-2.31,-6.59,-5.0998664278242,0.00297940701127297
"Marine","Actinopterygii","Perciformes","Nototheniidae","Trematomus","bernacchii",NA,8,NA,"lt","GBIF",58.8370619702358,4,3.3322045101752,1000,"No",NA,16.3699989318848,NA,NA,NA,NA,12.63,NA,NA,NA
"Marine","Actinopterygii","Perciformes","Nototheniidae","Trematomus","hansoni",NA,10,NA,"lt","GBIF",63.5069608295043,15,3.71357206670431,1000,"No",NA,3.3800001144409,NA,NA,NA,NA,-1.16,NA,NA,NA
"Marine","Actinopterygii","Perciformes","Pomacentridae","Dascyllus","aruanus",12,40.5,"ct","ct","GBIF",10.5329066424248,406,2.30258509299405,100,"No","No",-0.569999694824205,10.0800000429153,-2.05034976953801,0.0237360658495149,NA,-0.57,8.17,-2.1006790669239,0.023150008969791
"Marine","Actinopterygii","Perciformes","Pomacentridae","Dascyllus","aruanus",12,40.5,"ct","ct","GBIF",10.5329066424248,406,2.30258509299405,100,"No","No",-0.569999694824205,10.0800000429153,-2.05034976953801,0.0237360658495149,NA,-0.57,8.17,-2.1006790669239,0.023150008969791
"Marine","Actinopterygii","Perciformes","Sparidae","Diplodus","bellottii",NA,27.38,NA,"ct","IUCN",25.747278098,20,3.40119738166216,100,"No",NA,3.9300003051757,NA,NA,NA,NA,2.64,NA,NA,NA
"Marine","Actinopterygii","Perciformes","Sparidae","Diplodus","sargus",NA,33.8,NA,"ct","IUCN",15.1251161345001,125,3.80666248977032,100,"No",NA,2.5499992370605,NA,NA,NA,NA,-0.57,NA,NA,NA
"Marine","Actinopterygii","Perciformes","Sparidae","Diplodus","vulgaris",NA,31.1,NA,"ct","IUCN",31.3508358615001,106,3.80666248977032,1000,"No",NA,0.1600017547607,NA,NA,NA,NA,-2.49,NA,NA,NA
"Marine","Actinopterygii","Perciformes","Zoarcidae","Zoarces","viviparus",NA,26.7,NA,"ct","GBIF",59.8006474667726,73,3.95124371858143,100,"No",NA,-2.0799999237061,NA,NA,NA,NA,-7.7,NA,NA,NA
"Marine","Actinopterygii","Pleuronectiformes","Soleidae","Pegusa","lascaris",NA,32.9,NA,"ct","GBIF",24.2707046953533,151,3.68887945411394,100,"No",NA,-0.840000152587798,NA,NA,NA,NA,-4.21,NA,NA,NA
"Marine","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha",0,28,"lt","lt","GBIF",50.4516335460081,54,5.01063529409626,100,"No","No",-0.620000839233398,1.79999995231628,-4.44943931094132,0.0206378692067837,NA,NA,NA,NA,NA
"Marine","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha",0,28,"lt","lt","GBIF",50.4516335460081,54,5.01063529409626,100,"No","No",-0.620000839233398,1.79999995231628,-4.44943931094132,0.0206378692067837,NA,NA,NA,NA,NA
"Marine","Actinopterygii","Tetraodontiformes","Tetradontidae","Sphoeroides","maculatus",7.6,32.5,"lt","lt","IUCN",41.179556441,47,3.58351893845611,10,"No","No",-1.2000007629395,9.40999960899353,-7.07496319796604,0.00202865964158661,NA,-1.2,8.61,-7.09201939223543,0.00184452618348097
"Marine","Actinopterygii","Tetraodontiformes","Tetradontidae","Sphoeroides","maculatus",7.6,32.5,"lt","lt","IUCN",41.179556441,47,3.58351893845611,10,"No","No",-1.2000007629395,9.40999960899353,-7.07496319796604,0.00202865964158661,NA,-1.2,8.61,-7.09201939223543,0.00184452618348097
"Marine","Articulata","Terebratulida","Terebratulidae","Liothyrella","uva",NA,4.5,NA,"lt","GBIF",46.1333194174064,51,1.6094379124341,1000,"No",NA,27.8499984741211,NA,NA,NA,NA,NA,NA,NA,NA
