"log_prop_occupied","log_pol_equ_diff","abs_lat_mp","realm","dispersal_distance_continuous","log_maximum_body_size","rr_cells","metric","Class","Order","Family","Genus","Species","range","bias_in_uf"
-4.50409341128943,-0.114116043760208,1.84922602524193,"Intertidal",0.226242584243125,-0.624633867114704,497,"lt","Bivalvia","Veneroida","Tellinidae","Macoma","balthica","Macoma_balthica_GBIF",-0.00135484395827201
-4.95102682249094,0.57031107705217,-1.49693390084343,"Marine",-0.207876027588701,-0.00752888257899726,25,"ct","Actinopterygii","Perciformes","Labrisomidae","Malacoctenus","zonifer","Malacoctenus_zonifer_IUCN",0.00433982790096132
-5.66705561895077,0.825484283915974,0.386444810999482,"Marine",0.226242584243125,0.513557154661536,36,"lt","Actinopterygii","Atheriniformes","Atherinopsidae","Menidia","menidia","Menidia_menidia_GBIF",0.0039026193493874
-0.727699562066605,0.164259104167414,-0.403960778866588,"Terrestrial",-0.251287888771884,0.314649707720045,292,"ct","Reptilia","Squamata","Agamidae","Moloch","horridus","Moloch_horridus_IUCN",0.0808281083029699
-3.90899957153015,0.01150439740801,2.05602223816124,"Intertidal",4.56742870256138,-0.582114218190394,356,"lt","Bivalvia","Mytiloida","Mytilidae","Mytilus","edulis","Mytilus_edulis_GBIF",0.000230614412701891
-1.89711998488588,2.31804931869163,0.362206389788664,"Terrestrial",-0.251287888771884,-0.259935627891351,50,"ct","Reptilia","Squamata","Scincidae","Nannoscincus","maccoyi","Nannoscincus_maccoyi_GBIF",0.740546218487394
-4.2573841894666,4.02356438016105,0.67969809523105,"Terrestrial",-0.251287888771884,-0.106461546105155,12,"ct","Reptilia","Squamata","Scincidae","Niveoscincus","metallicus","Niveoscincus_metallicus_GARD",0.491055456171735
-5.31648467050349,4.7990908786254,0.787552914164198,"Terrestrial",-0.251287888771884,0.0427259834143507,7,"ct","Reptilia","Squamata","Scincidae","Niveoscincus","ocellatus","Niveoscincus_ocellatus_GARD",0.39670510708402
-1.53608012786245,1.99533142716175,0.213352190240665,"Terrestrial",-0.251287888771884,2.42228832393931,98,"ct","Reptilia","Squamata","Elapidae","Notechis","scutatus","Notechis_scutatus_IUCN",0.66152405362776
-3.76641903156935,-0.662263105502761,1.78439139062921,"Intertidal",0.226242584243125,-0.541669542600456,268,"lt","Gastropoda","Archaeogastropoda","Muricidae","Nucella","lapillus","Nucella_lapillus_GBIF",-0.0174214759726788
-2.5202990837238,0.7320858310349,1.90575718845889,"Terrestrial",-0.207876027588701,-2.60153642423158,230,"mixed","Arachnida","Araneae","Linyphiidae","Oedothorax","apicatus","Oedothorax_apicatus_GBIF",0.0691103001098393
-4.44943931094132,1.59425011840383,1.42296876087328,"Marine",0.226242584243125,2.42228832393931,54,"lt","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha","Oncorhynchus_tshawytscha_GBIF",0.0206378692067837
-2.50715004634349,1.52354160694449,2.04209757151374,"Terrestrial",-0.207876027588701,-2.05098034830701,234,"mixed","Arachnida","Araneae","Lycosidae","Pardosa","nigriceps","Pardosa_nigriceps_GBIF",0.182146763817046
