"range","species","type","o_cells","u_cells","rr_cells","pr_cells","pol_fill","equ_fill","realm","source","range_area_km2","lat_mp","ctmax","ctmin"
"Podarcis_muralis_IUCN","Podarcis_muralis","Te",185,166,254,235,0.844444444444444,0.221153846153846,"Terrestrial","IUCN",1831067,44.084485593,44.2,5.9
"Prinerigone_vagans_GBIF","Prinerigone_vagans","Te",0,508,29,537,0.109090909090909,0.0398126463700234,"Terrestrial","GBIF",193078,51.8532944361072,35.9,-8.1
"Protobothrops_mucrosquamatus_IUCN","Protobothrops_mucrosquamatus","Te",64,634,374,944,0.299349240780911,0.356107660455487,"Terrestrial","IUCN",3572457,28.422616895,38.2,5.3
"Psammodromus_algirus_IUCN","Psammodromus_algirus","Te",8,859,75,926,0.305555555555556,0.0250941028858218,"Terrestrial","IUCN",585059,33.129005226,43.5,7
"Psammodromus_hispanicus_IUCN","Psammodromus_hispanicus","Te",48,53,64,69,0.19047619047619,0.25,"Terrestrial","IUCN",488894,40.273635593,45.5,8.8
"Pseudacris_cadaverina_IUCN","Pseudacris_cadaverina","Te",4,859,14,869,0.0107858243451464,0.0118577075098814,"Terrestrial","IUCN",63751,32.8212265295,36.8,-1.4
"Pseudacris_regilla_IUCN","Pseudacris_regilla","Te",124,723,210,809,0.144615384615385,0.0823754789272031,"Terrestrial","IUCN",1543994,39.4166402815,36.6,-1
"Pseudemoia_entrecasteauxii_GBIF","Pseudemoia_entrecasteauxii","Te",11,563,108,660,0.727272727272727,0.126959247648903,"Terrestrial","GBIF",1017724,-36.8862419382866,42.1,2.5
"Pseudemoia_entrecasteauxii_IUCN","Pseudemoia_entrecasteauxii","Te",10,599,71,660,0.727272727272727,0.0848765432098765,"Terrestrial","IUCN",582019,-37.6590172825,42.1,2.5
"Pseudemoia_spenceri_IUCN","Pseudemoia_spenceri","Te",4,643,24,663,0.485714285714286,0.0141065830721003,"Terrestrial","IUCN",132998,-36.1054946794999,42.3,2.3
"Pseudemoia_spenceri_GBIF","Pseudemoia_spenceri","Te",4,627,40,663,0.553191489361702,0.0270700636942675,"Terrestrial","GBIF",314907,-35.6889149120089,42.3,2.3
"Pseudonaja_textilis_IUCN","Pseudonaja_textilis","Te",24,115,115,206,0.462809917355372,0.408602150537634,"Terrestrial","IUCN",3191160,-25.674035752,42.4,3.5
"Rana_cascadae_IUCN","Rana_cascadae","Te",20,549,31,560,0.0642857142857143,0.00476190476190476,"Terrestrial","IUCN",113889,44.4384598915001,33.6,-1
"Rana_pretiosa_IUCN","Rana_pretiosa","Te",14,751,22,759,0.0909090909090909,0.00559440559440559,"Terrestrial","IUCN",62528,45.0841598285,34.8,-1
"Rankinia_diemensis_IUCN","Rankinia_diemensis","Te",11,621,47,657,0.666666666666667,0.0345911949685535,"Terrestrial","IUCN",332897,-37.0092643385,44.8,3.1
"Saproscincus_mustelina_GBIF","Saproscincus_mustelina","Te",85,66,88,69,0.333333333333333,0.03125,"Terrestrial","GBIF",795127,-32.6951731316229,37.7,6.2
"Sceloporus_graciosus_IUCN","Sceloporus_graciosus","Te",217,203,222,208,0.0588235294117647,0.0198019801980198,"Terrestrial","IUCN",1461397,40.5884107895,43,9.1
"Sceloporus_malachiticus_IUCN","Sceloporus_malachiticus","Te",0,76,17,93,0.159420289855072,0.25,"Terrestrial","IUCN",44000,12.210648116,42.8,9.7
"Sceloporus_merriami_IUCN","Sceloporus_merriami","Te",18,72,26,80,0.151515151515152,0.0833333333333333,"Terrestrial","IUCN",143789,28.6531385135001,41.5,14.1
"Sceloporus_occidentalis_IUCN","Sceloporus_occidentalis","Te",112,428,140,456,0.107142857142857,0.0488505747126437,"Terrestrial","IUCN",1007976,38.4105152680001,44.1,4.8
"Sceloporus_undulatus_IUCN","Sceloporus_undulatus","Te",392,49,481,138,0.888888888888889,0.525773195876289,"Terrestrial","IUCN",4098308,33.6857207805,40.4,11.4
"Sceloporus_variabilis_IUCN","Sceloporus_variabilis","Te",2,210,96,304,0.229268292682927,0.44954128440367,"Terrestrial","IUCN",758205,19.871451299,43.1,10.2
"Scotina_gracilipes_GBIF","Scotina_gracilipes","Te",57,437,164,544,0.708333333333333,0.147177419354839,"Terrestrial","GBIF",1013433,56.1790486938401,41.4,-6.9
"Spea_hammondii_IUCN","Spea_hammondii","Te",11,215,25,229,0.24,0.0392156862745098,"Terrestrial","IUCN",122001,35.2312285305001,40.3,0
"Sphaerodactylus_gaigeae_IUCN","Sphaerodactylus_gaigeae","Te",0,87,0,87,NA,NA,"Terrestrial","IUCN",3302,18.2145555,38.2,12.5
"Sphaerodactylus_klauberi_IUCN","Sphaerodactylus_klauberi","Te",0,79,0,79,NA,NA,"Terrestrial","IUCN",3212,18.272124624,36.3,10.4
"Sphaerodactylus_macrolepis_IUCN","Sphaerodactylus_macrolepis","Te",0,92,0,92,NA,NA,"Terrestrial","IUCN",7942,18.2115835,39.4,11.3
"Sphaerodactylus_nicholsi_IUCN","Sphaerodactylus_nicholsi","Te",0,91,0,91,NA,NA,"Terrestrial","IUCN",1203,18.2252252535,39.5,11.4
"Sphaerodactylus_roosevelti_GBIF","Sphaerodactylus_roosevelti","Te",0,81,0,81,NA,NA,"Terrestrial","GBIF",954,18.0276593325736,39.3,10.5
"Sphaerodactylus_roosevelti_IUCN","Sphaerodactylus_roosevelti","Te",0,81,0,81,NA,NA,"Terrestrial","IUCN",452,17.9632639605,39.3,10.5
"Sphaerodactylus_townsendi_IUCN","Sphaerodactylus_townsendi","Te",0,90,0,90,NA,NA,"Terrestrial","IUCN",1056,18.1736945,42.1,11.4
"Sphenomorphus_incognitus_IUCN","Sphenomorphus_incognitus","Te",43,394,169,520,0.521008403361345,0.159600997506234,"Terrestrial","IUCN",1538455,25.0030408015,39.3,12
"Sphenomorphus_indicus_GBIF","Sphenomorphus_indicus","Te",74,942,477,1345,0.293790546802595,0.323308270676692,"Terrestrial","GBIF",5015540,19.1033525343431,37.6,3.1
"Sphenomorphus_indicus_GARD","Sphenomorphus_indicus","Te",92,872,565,1345,0.351834430856068,0.351063829787234,"Terrestrial","GARD",5904450,19.7723983527519,37.6,3.1
"Sphenomorphus_taiwanensis_GARD","Sphenomorphus_taiwanensis","Te",0,422,3,425,0.0217391304347826,0.00555555555555556,"Terrestrial","GARD",25224,23.6924210402988,37.4,5.9
"Stemonyphantes_lineatus_GBIF","Stemonyphantes_lineatus","Te",36,795,284,1043,0.673611111111111,0.177947598253275,"Terrestrial","GBIF",1841582,55.4341617529814,40.5,-13.3
"Takydromus_hsuehshanensis_IUCN","Takydromus_hsuehshanensis","Te",0,233,1,234,0.0192307692307692,0.00515463917525773,"Terrestrial","IUCN",2460,24.2243269205,43.5,2.5
"Takydromus_septentrionalis_IUCN","Takydromus_septentrionalis","Te",64,1077,294,1307,0.191605839416058,0.164690382081686,"Terrestrial","IUCN",2789522,31.7394890015001,44.5,4.9
"Takydromus_sexlineatus_IUCN","Takydromus_sexlineatus","Te",17,497,337,817,0.310975609756098,0.720496894409938,"Terrestrial","IUCN",3721166,9.57302511200004,42.2,6.4
"Tarentola_boettgeri_IUCN","Tarentola_boettgeri","Te",NA,NA,NA,NA,NA,NA,"Terrestrial","IUCN",1756,28.8969855930001,42.1,7.1
"Testudo_hermanni_GARD","Testudo_hermanni","Te",45,177,82,214,0.267605633802817,0.125874125874126,"Terrestrial","GARD",642218,40.7251326547012,42,6
"Thamnophis_elegans_IUCN","Thamnophis_elegans","Te",326,526,374,574,0.1,0.0799220272904483,"Terrestrial","IUCN",2537950,43.8473643265,43.1,2
"Thamnophis_ordinoides_IUCN","Thamnophis_ordinoides","Te",29,424,31,426,1,0.00235294117647059,"Terrestrial","IUCN",194130,45.9666314635,38.9,4.2
"Thamnophis_sirtalis_IUCN","Thamnophis_sirtalis","Te",821,167,1096,442,0.967032967032967,0.532763532763533,"Terrestrial","IUCN",8248977,43.0123458415001,38.9,4.2
"Tiliqua_nigrolutea_GBIF","Tiliqua_nigrolutea","Te",20,582,75,637,0.909090909090909,0.083596214511041,"Terrestrial","GBIF",661450,-37.6103996904468,42.5,5.2
"Tiliqua_nigrolutea_IUCN","Tiliqua_nigrolutea","Te",19,610,46,637,0.909090909090909,0.0394321766561514,"Terrestrial","IUCN",357750,-37.492573321,42.5,5.2
"Tiliqua_rugosa_GBIF","Tiliqua_rugosa","Te",18,108,567,657,0.956349206349206,0.760493827160494,"Terrestrial","GBIF",5859198,-28.2684153729021,43,3.5
"Tiliqua_rugosa_IUCN","Tiliqua_rugosa","Te",10,360,307,657,0.888268156424581,0.337864077669903,"Terrestrial","IUCN",2858850,-30.0269519255,43,3.5
"Tlalocohyla_smithii_IUCN","Tlalocohyla_smithii","Te",15,174,32,191,0.0854700854700855,0.150537634408602,"Terrestrial","IUCN",260451,20.7333486045001,42.5,5
"Trachylepis_striata_GARD","Trachylepis_striata","Te",534,409,738,613,0.676470588235294,0.264150943396226,"Terrestrial","GARD",7959309,-9.2217838977336,44.5,15.7
"Trapelus_savignii_IUCN","Trapelus_savignii","Te",7,56,7,56,NA,NA,"Terrestrial","IUCN",36705,31.2360405495,47.2,12
"Trimeresurus_gracilis_GARD","Trimeresurus_gracilis","Te",1,390,3,392,0.0285714285714286,0.00280112044817927,"Terrestrial","GARD",17181,23.8421755472729,37.7,4.7
"Trimeresurus_stejnegeri_GARD","Trimeresurus_stejnegeri","Te",195,276,321,402,0.585185185185185,0.176029962546816,"Terrestrial","GARD",3155609,21.4164819321931,38,6.4
"Uta_stansburiana_GBIF","Uta_stansburiana","Te",285,182,414,311,0.35632183908046,0.489051094890511,"Terrestrial","GBIF",3773780,36.2118436608121,43.7,7.8
"Uta_stansburiana_IUCN","Uta_stansburiana","Te",182,219,274,311,0.275862068965517,0.321167883211679,"Terrestrial","IUCN",2078485,35.227160181,43.7,7.8
"Varanus_varius_IUCN","Varanus_varius","Te",128,320,144,336,0.222222222222222,0.0377358490566038,"Terrestrial","IUCN",1265039,-26.8527280279999,43.7,5
"Varanus_varius_GBIF","Varanus_varius","Te",186,244,278,336,0.307692307692308,0.267605633802817,"Terrestrial","GBIF",2922144,-26.6804026504604,43.7,5
"Xantusia_riversiana_IUCN","Xantusia_riversiana","Te",0,64,0,64,NA,NA,"Terrestrial","IUCN",208,33.1440563090001,39,6.6
"Xantusia_vigilis_IUCN","Xantusia_vigilis","Te",43,94,50,101,0.117647058823529,0.0447761194029851,"Terrestrial","IUCN",254886,30.6486560185,40.5,4.5
"Zootoca_vivipara_IUCN","Zootoca_vivipara","Te",1884,930,2220,1266,0.938144329896907,0.168014375561545,"Terrestrial","IUCN",13973868,56.3022355925001,43.9,1.9
"Dascyllus_aruanus_GBIF","Dascyllus_aruanus","Te",18,2627,406,3015,0.142301710730949,0.118565644881434,"Marine","GBIF",114113811,-10.5329066424248,40.5,12
"Engraulis_japonicus_IUCN","Engraulis_japonicus","Te",55,3087,68,3100,0.0160965794768612,0.0019208605455244,"Marine","IUCN",2443170,34.4184356295,32,8
"Fundulus_parvipinnis_GBIF","Fundulus_parvipinnis","Te",0,4705,10,4715,0.00732600732600733,0.00102669404517454,"Marine","GBIF",130676,31.2639506656813,36.1,2.2
"Halichoeres_dispilus_IUCN","Halichoeres_dispilus","Te",24,2811,50,2837,0.0157194679564692,0.00646766169154229,"Marine","IUCN",1170380,6.60263096650004,35.8,15.6
"Malacoctenus_zonifer_IUCN","Malacoctenus_zonifer","Te",0,3508,25,3533,0.00998463901689708,0.00564481111593574,"Marine","IUCN",591876,11.1551247375,38.2,12.5
"Menidia_menidia_GBIF","Menidia_menidia","Te",25,3170,36,3181,0.00694444444444444,0.00304182509505703,"Marine","GBIF",2412856,36.5019313656972,32.5,1.5
"Oncorhynchus_tshawytscha_GBIF","Oncorhynchus_tshawytscha","Te",35,1607,54,1626,0.0258964143426295,0.00525854513584575,"Marine","GBIF",2653529,50.4516335460081,28,0
"Periophthalmus_kalolo_GBIF","Periophthalmus_kalolo","Te",19,2407,322,2710,0.0866574965612105,0.142084942084942,"Marine","GBIF",7911865,-1.7039031600172,40.7,12.8
"Plagiotremus_azaleus_IUCN","Plagiotremus_azaleus","Te",11,2782,46,2817,0.0171428571428571,0.00962082625919638,"Marine","IUCN",1321819,10.6707428415001,35.3,13.4
"Sphoeroides_maculatus_IUCN","Sphoeroides_maculatus","Te",44,3543,47,3546,0.00265957446808511,0.000630914826498423,"Marine","IUCN",1091223,41.179556441,32.5,7.6
"Tautogolabrus_adspersus_IUCN","Tautogolabrus_adspersus","Te",48,1684,48,1684,NA,NA,"Marine","IUCN",1120819,48.2400285635001,30,0.6
"Thalassoma_lucasanum_IUCN","Thalassoma_lucasanum","Te",24,2721,46,2743,0.0156028368794326,0.00539744847890088,"Marine","IUCN",1084935,8.63012459700005,36,16.3
"Anodontia_bullula_GBIF","Anodontia_bullula","Te",6,2737,43,2774,0.0293453724604966,0.0106157112526539,"Intertidal","GBIF",1383577,-15.0469085802848,36.31,7.17
"Barbatia_pistachia_GBIF","Barbatia_pistachia","Te",30,2802,39,2811,0.0457516339869281,0.000752445447705041,"Intertidal","GBIF",571175,-35.1577057380651,36.87,6.01
"Cerastoderma_edule_GBIF","Cerastoderma_edule","Te",73,4283,125,4335,0.0177304964539007,0.00916808149405773,"Intertidal","GBIF",1730158,49.4578045850014,33.98,-6.18
"Divaricella_irpex_GBIF","Divaricella_irpex","Te",12,2837,45,2870,0.0284810126582278,0.00939702427564605,"Intertidal","GBIF",1327494,-19.3383589779573,36.94,5.51
"Halozetes_belgicae_GBIF","Halozetes_belgicae","Te",0,724,0,724,NA,NA,"Intertidal","GBIF",0,-62,40.1,-4.7
"Hemigrapsus_nudus_GBIF","Hemigrapsus_nudus","Te",18,2821,18,2821,NA,NA,"Intertidal","GBIF",185251,47.2466316667706,33.6,3.5
"Littorina_littorea_GBIF","Littorina_littorea","Te",49,4924,116,4991,0.0234432234432234,0.011400651465798,"Intertidal","GBIF",1607051,56.2805920325486,35.3,-13
"Littorina_obtusata_GBIF","Littorina_obtusata","Te",163,3063,274,3174,0.0318532818532819,0.0416666666666667,"Intertidal","GBIF",3760492,49.8658793682718,29.6,-13
"Littorina_saxatilis_GBIF","Littorina_saxatilis","Te",142,4758,301,4917,0.0586182833217027,0.0215269804822044,"Intertidal","GBIF",4496463,53.3191011663616,35,-16.4
"Macoma_balthica_GBIF","Macoma_balthica","Te",453,3933,497,3977,0.0112079701120797,0.0125628140703518,"Intertidal","GBIF",6336966,56.1882707851773,30.97,-7.01
"Mytilus_edulis_GBIF","Mytilus_edulis","Te",303,2589,356,2642,0.0201612903225806,0.0199306759098787,"Intertidal","GBIF",4288598,58.9713667113175,30.5,-8.2
"Nacella_concinna_GBIF","Nacella_concinna","Te",5,870,5,870,NA,NA,"Intertidal","GBIF",498701,-65.0846644488208,5,-12.9
"Nucella_lapillus_GBIF","Nucella_lapillus","Te",228,1689,268,1729,0.0185497470489039,0.0359712230215827,"Intertidal","GBIF",3661955,55.3157160854747,28.2,-6.4
"Petrolisthes_gracilis_GBIF","Petrolisthes_gracilis","Te",0,3468,15,3483,0.0118518518518519,0.00314795383001049,"Intertidal","GBIF",80379,26.3808058194614,41.6,1.9
"Petrolisthes_hirtipes_GBIF","Petrolisthes_hirtipes","Te",0,3074,13,3087,0.0150214592274678,0.00299850074962519,"Intertidal","GBIF",67852,27.0952876846382,39.3,4.5
"Agroeca_proxima_GBIF","Agroeca_proxima","acclimatized",8,2695,328,3015,0.262057877813505,0.0672032193158954,"Terrestrial","GBIF",1939661,58.2217643426921,43.0876220743403,-10.9892336055211
"Anolis_gundlachi_GBIF","Anolis_gundlachi","acclimatized",0,81,0,81,NA,NA,"Terrestrial","GBIF",7283,18.191452980121,39.6283721033732,6.3
"Anolis_gundlachi_GARD","Anolis_gundlachi","acclimatized",0,81,0,81,NA,NA,"Terrestrial","GARD",6382,18.2442308321046,39.6283721033732,6.3
"Clubiona_diversa_GBIF","Clubiona_diversa","acclimatized",0,3383,216,3599,0.0496156533892383,0.0668819188191882,"Terrestrial","GBIF",1476519,54.1010577453007,47.08762,-14.48923
"Clubiona_trivialis_GBIF","Clubiona_trivialis","acclimatized",1203,982,1447,1226,0.864661654135338,0.118023787740165,"Terrestrial","GBIF",10420135,54.5491274584246,47.78762,-12.07253
"Cordylus_cordylus_IUCN","Cordylus_cordylus","acclimatized",13,1800,35,1822,1,0.00552486187845304,"Terrestrial","IUCN",234620,-32.207730151,45.06408,-0.739048
"Cordylus_niger_IUCN","Cordylus_niger","acclimatized",1,1777,1,1777,NA,NA,"Terrestrial","IUCN",503,-33.6500683035,44.46408,-0.839048
"Cordylus_niger_GBIF","Cordylus_niger","acclimatized",1,1777,1,1777,NA,NA,"Terrestrial","GBIF",615,-33.6658816861293,44.46408,-0.839048
"Cordylus_oelofseni_IUCN","Cordylus_oelofseni","acclimatized",1,1782,4,1785,0.222222222222222,0.00112107623318386,"Terrestrial","IUCN",3873,-33.251806207,44.26408,-1.939048
"Crustulina_guttata_GBIF","Crustulina_guttata","acclimatized",114,566,334,786,0.690140845070423,0.215453194650817,"Terrestrial","GBIF",2095099,56.0548917330794,46.48686,-13.47396
"Ctenotus_regius_IUCN","Ctenotus_regius","acclimatized",192,189,192,189,NA,NA,"Terrestrial","IUCN",1712767,-29.2979374344999,47.3492,2.194948
"Ctenotus_regius_GBIF","Ctenotus_regius","acclimatized",204,188,205,189,0.0416666666666667,0.00555555555555556,"Terrestrial","GBIF",1896835,-28.9478066393496,47.3492,2.194948
"Ctenotus_taeniolatus_IUCN","Ctenotus_taeniolatus","acclimatized",120,79,125,84,0.444444444444444,0.0133333333333333,"Terrestrial","IUCN",1154602,-26.6773791914999,46.9492,4.894948
"Ctenotus_taeniolatus_GBIF","Ctenotus_taeniolatus","acclimatized",164,80,168,84,0.75,0.0365853658536585,"Terrestrial","GBIF",1663936,-27.15907098229,46.9492,4.894948
"Ctenotus_uber_IUCN","Ctenotus_uber","acclimatized",97,144,121,168,0.533333333333333,0.11038961038961,"Terrestrial","IUCN",1060968,-26.1676794195,47.7492,2.594948
"Ctenotus_uber_GBIF","Ctenotus_uber","acclimatized",401,134,435,168,0.571428571428571,0.168831168831169,"Terrestrial","GBIF",4315705,-28.4349359637454,47.7492,2.594948
"Dendrobates_auratus_IUCN","Dendrobates_auratus","acclimatized",0,1211,17,1228,0.0463576158940397,0.00928505106778087,"Terrestrial","IUCN",116892,13.5207421030001,40.07685,4.258594
"Desmognathus_fuscus_IUCN","Desmognathus_fuscus","acclimatized",125,253,199,327,0.205128205128205,0.22972972972973,"Terrestrial","IUCN",1548642,38.5751565195,39.29181,-6.229977
"Egernia_striolata_GBIF","Egernia_striolata","acclimatized",30,405,276,651,0.580645161290323,0.270454545454545,"Terrestrial","GBIF",2727822,-27.9509371417412,46.4492,-0.4050518
"Egernia_striolata_IUCN","Egernia_striolata","acclimatized",30,483,198,651,0.419354838709677,0.158808933002481,"Terrestrial","IUCN",1830012,-27.2808403529999,46.4492,-0.4050518
"Eleutherodactylus_coqui_IUCN","Eleutherodactylus_coqui","acclimatized",0,476,3,479,0.00579710144927536,0.00746268656716418,"Terrestrial","IUCN",12364,21.954099141,37.2,2.582767
"Elgaria_multicarinata_IUCN","Elgaria_multicarinata","acclimatized",14,928,54,968,0.0309278350515464,0.05175983436853,"Terrestrial","IUCN",332751,38.615441149,44.51744,-6.755886
"Eremias_argus_IUCN","Eremias_argus","acclimatized",112,2199,532,2619,0.126626626626627,0.272108843537415,"Terrestrial","IUCN",4172221,41.4884031755001,47.52411,-9.773338
"Eremias_brenchleyi_IUCN","Eremias_brenchleyi","acclimatized",0,1597,104,1701,0.0400815217391304,0.228,"Terrestrial","IUCN",927318,35.5924158100001,46.22411,-7.373338
"Eremias_multiocellata_GBIF","Eremias_multiocellata","acclimatized",315,1032,373,1090,0.179245283018868,0.0444664031620553,"Terrestrial","GBIF",3628178,42.2027268315594,44.78283,-1.773338
"Eremias_multiocellata_IUCN","Eremias_multiocellata","acclimatized",153,284,153,284,NA,NA,"Terrestrial","IUCN",907461,47.168057483,43.72411,-1.773338
"Eremiascincus_fasciolatus_IUCN","Eremiascincus_fasciolatus","acclimatized",35,157,50,172,0.375,0.0670731707317073,"Terrestrial","IUCN",434768,-23.202842195,43.4492,2.494948
"Eremiascincus_fasciolatus_GBIF","Eremiascincus_fasciolatus","acclimatized",422,22,572,172,1,0.858974358974359,"Terrestrial","GBIF",6010004,-24.5922414491592,43.4492,2.494948
"Eremiascincus_richardsoni_GBIF","Eremiascincus_richardsoni","acclimatized",345,33,595,283,0.924528301886792,0.885375494071146,"Terrestrial","GBIF",6214056,-25.3522748898709,44.2492,0.7949482
"Eurycea_bislineata_IUCN","Eurycea_bislineata","acclimatized",31,991,166,1126,0.189448441247002,0.078984485190409,"Terrestrial","IUCN",1198568,44.3903927350001,39.39181,-5.824376
"Hemachatus_haemachatus_IUCN","Hemachatus_haemachatus","acclimatized",5,1909,63,1967,0.673076923076923,0.014025974025974,"Terrestrial","IUCN",392531,-29.7209011155,46.76075,-4.279048
"Hemiergis_peroni_GBIF","Hemiergis_peroni","acclimatized",75,60,75,60,NA,NA,"Terrestrial","GBIF",583638,-34.5230391405754,38.6,3.094948
"Lacerta_agilis_IUCN","Lacerta_agilis","acclimatized",1451,204,1482,235,0.294117647058824,0.128888888888889,"Terrestrial","IUCN",10035379,50.589335593,45.83578,5.9
"Linepithema_humile_GBIF","Linepithema_humile","acclimatized",11,990,437,1416,0.854368932038835,0.206611570247934,"Terrestrial","GBIF",4310254,-29.7497418597388,43.33337,-2.925008
"Liolaemus_abaucan_IUCN","Liolaemus_abaucan","acclimatized",0,385,1,386,0.05,0.0027027027027027,"Terrestrial","IUCN",1409,-27.5177749944999,49.91744,6.894979
"Liolaemus_albiceps_IUCN","Liolaemus_albiceps","acclimatized",0,172,1,173,0.02,0.0078740157480315,"Terrestrial","IUCN",686,-24.248600387,46.94744,-1.465021
"Liolaemus_bibronii_IUCN","Liolaemus_bibronii","acclimatized",32,1352,50,1370,1,0.00952380952380952,"Terrestrial","IUCN",295599,-44.6722253445,47.14744,-0.02502083
"Liolaemus_bibronii_GBIF","Liolaemus_bibronii","acclimatized",40,1314,96,1370,0.766666666666667,0.0246268656716418,"Terrestrial","GBIF",722673,-39.9166231665576,47.14744,-0.02502083
"Liolaemus_boulengeri_GBIF","Liolaemus_boulengeri","acclimatized",45,885,87,927,1,0.0327868852459016,"Terrestrial","GBIF",813939,-41.396187524773,46.60744,0.8849792
"Liolaemus_boulengeri_IUCN","Liolaemus_boulengeri","acclimatized",14,923,18,927,1,0.00216216216216216,"Terrestrial","IUCN",84512,-43.5916641994999,46.60744,0.8849792
"Liolaemus_canqueli_IUCN","Liolaemus_canqueli","acclimatized",1,830,6,835,0.1,0.00368098159509202,"Terrestrial","IUCN",14866,-43.9997479225,47.21744,-1.525021
"Liolaemus_capillitas_IUCN","Liolaemus_capillitas","acclimatized",0,175,4,179,0.0476190476190476,0.0145985401459854,"Terrestrial","IUCN",5851,-27.1254681725,46.31744,-1.045021
"Liolaemus_chacoensis_IUCN","Liolaemus_chacoensis","acclimatized",6,876,35,905,0.372093023255814,0.0184331797235023,"Terrestrial","IUCN",375206,-27.0893977199999,46.71744,6.384979
"Liolaemus_cuyanus_IUCN","Liolaemus_cuyanus","acclimatized",3,988,17,1002,0.126984126984127,0.00839454354669465,"Terrestrial","IUCN",63024,-32.8253007105,48.31744,3.484979
"Liolaemus_darwinii_GBIF","Liolaemus_darwinii","acclimatized",8,1271,78,1341,0.427083333333333,0.0269200316706255,"Terrestrial","GBIF",596832,-33.8661772285365,47.29744,1.594979
"Liolaemus_darwinii_IUCN","Liolaemus_darwinii","acclimatized",17,1289,69,1341,0.508196721311475,0.01640625,"Terrestrial","IUCN",396964,-36.6733767835,47.29744,1.594979
"Liolaemus_dorbignyi_IUCN","Liolaemus_dorbignyi","acclimatized",0,136,1,137,0.0357142857142857,0.0087719298245614,"Terrestrial","IUCN",595,-27.4920304795,46.52744,0.3149792
"Liolaemus_elongatus_IUCN","Liolaemus_elongatus","acclimatized",8,983,28,1003,0.5,0.010183299389002,"Terrestrial","IUCN",150565,-41.6673427825,47.71744,-0.8350208
"Liolaemus_elongatus_GBIF","Liolaemus_elongatus","acclimatized",26,926,103,1003,0.822222222222222,0.0486039296794209,"Terrestrial","GBIF",836422,-38.8911185436146,47.71744,-0.8350208
"Liolaemus_fitzingerii_IUCN","Liolaemus_fitzingerii","acclimatized",2,1344,2,1344,NA,NA,"Terrestrial","IUCN",792,-44.9019719375,47.06744,-0.2750208
"Liolaemus_irregularis_IUCN","Liolaemus_irregularis","acclimatized",0,172,2,174,0.0196078431372549,0.00813008130081301,"Terrestrial","IUCN",1867,-23.8911176029999,47.59744,-1.555021
"Liolaemus_kingii_IUCN","Liolaemus_kingii","acclimatized",14,1358,34,1378,0.714285714285714,0.00733137829912024,"Terrestrial","IUCN",210999,-46.3966257265,47.11744,-1.505021
"Liolaemus_kingii_GBIF","Liolaemus_kingii","acclimatized",27,1347,58,1378,0.823529411764706,0.0146627565982405,"Terrestrial","GBIF",432208,-46.4115282896415,47.11744,-1.505021
"Liolaemus_koslowskyi_IUCN","Liolaemus_koslowskyi","acclimatized",0,496,6,502,0.0833333333333333,0.00862068965517241,"Terrestrial","IUCN",15792,-28.132707021,48.71744,4.704979
"Liolaemus_kriegi_IUCN","Liolaemus_kriegi","acclimatized",6,475,13,482,0.142857142857143,0.0109170305676856,"Terrestrial","IUCN",56163,-40.4757320209999,46.28744,-0.9150208
"Liolaemus_laurenti_IUCN","Liolaemus_laurenti","acclimatized",0,490,7,497,0.121212121212121,0.00847457627118644,"Terrestrial","IUCN",8118,-30.4094503094999,48.79744,3.684979
"Liolaemus_laurenti_GBIF","Liolaemus_laurenti","acclimatized",0,468,29,497,0.575757575757576,0.0317796610169492,"Terrestrial","GBIF",229823,-30.7610738686825,48.79744,3.684979
"Liolaemus_melanops_IUCN","Liolaemus_melanops","acclimatized",2,1390,10,1398,0.0925925925925926,0.00444444444444444,"Terrestrial","IUCN",38331,-42.588626478,47.55744,-2.865021
"Liolaemus_multicolor_IUCN","Liolaemus_multicolor","acclimatized",0,167,6,173,0.0555555555555556,0.0252100840336134,"Terrestrial","IUCN",28576,-23.012822127,47.31744,-0.4550208
"Liolaemus_multimaculatus_IUCN","Liolaemus_multimaculatus","acclimatized",1,399,6,404,0.166666666666667,0.0100502512562814,"Terrestrial","IUCN",3649,-38.728022549,46.44744,0.4149792
"Liolaemus_olongasta_IUCN","Liolaemus_olongasta","acclimatized",0,449,8,457,0.129032258064516,0.00938967136150235,"Terrestrial","IUCN",24810,-30.7457156905,47.19744,3.334979
"Liolaemus_petrophilus_IUCN","Liolaemus_petrophilus","acclimatized",5,992,20,1007,0.307692307692308,0.0101626016260163,"Terrestrial","IUCN",96396,-42.934182997,47.84744,-1.205021
"Liolaemus_poecilochromus_GBIF","Liolaemus_poecilochromus","acclimatized",21,116,58,153,0.212121212121212,0.264367816091954,"Terrestrial","GBIF",539905,-19.3358345281776,46.77744,0.8349792
"Liolaemus_poecilochromus_IUCN","Liolaemus_poecilochromus","acclimatized",0,149,4,153,0.0540540540540541,0.0172413793103448,"Terrestrial","IUCN",10167,-26.3318233595,46.77744,0.8349792
"Liolaemus_pseudoanomalus_IUCN","Liolaemus_pseudoanomalus","acclimatized",0,248,6,254,0.0952380952380952,0.0182648401826484,"Terrestrial","IUCN",27880,-28.2579329684999,48.54744,3.674979
"Liolaemus_quilmes_IUCN","Liolaemus_quilmes","acclimatized",0,270,3,273,0.0285714285714286,0.00492610837438424,"Terrestrial","IUCN",7935,-26.3643173055,47.30744,-0.05502083
