"Data for CTMax analyses (Fig. 6 & 7, S10, Table S16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Family,Genus3,Species3,Average of Safety,Average of Elevation,Log Average of Elevation,Average of Abs lat,Log Range,log SVL,Average of tmxslope,IUCN 2014risk,Average of Abs lat/10,log SVLx10,Average of tmxslope/100,Average of Safety/10,Average of ARR,LogARR,Log(ARR+1),Exclude Negative ARRs,,,,,,,,,,,,,,,,,,
Anura,Microhylidae,Elachistocleis,bicolor,,102,2.008600172,25.316761,6.197128597,1.51851394,0.012514206,0,2.5316761,15.1851394,1.251420568,,,,,,,,,,,,,,,,,,,,,,,
Anura,Eleutherodactylidae,Eleutherodactylus,coqui,7.989801125,357.5,2.553276046,18.348971,4.007235538,1.740362689,0.005232293,0,1.8348971,17.40362689,0.523229292,0.798980113,,,,,,,,,,,,,,,,,,,,,,
Anura,Eleutherodactylidae,Eleutherodactylus,cundalli,7.3125372,276,2.440909082,18.308113,3.800235789,1.568201724,0.010844738,1,1.8308113,15.68201724,1.08447379,0.73125372,0.06,-1.22184875,0.025305865,,,,,,,,,,,,,,,,,,,
Anura,Eleutherodactylidae,Eleutherodactylus,gossei,6.3625372,276,2.440909082,18.308113,3.932270776,1.397940009,0.010844738,0,1.8308113,13.97940009,1.08447379,0.63625372,-0.13,,-0.060480747,1,,,,,,,,,,,,,,,,,,
Anura,Eleutherodactylidae,Eleutherodactylus,johnstonei,9.9125372,276,2.440909082,18.308113,4.42280316,1.51851394,0.010844738,0,1.8308113,15.1851394,1.08447379,0.99125372,-0.06,,-0.026872146,1,,,,,,,,,,,,,,,,,,
Anura,Eleutherodactylidae,Eleutherodactylus,planirostris,10.6125372,276,2.440909082,18.308113,5.307393335,1.51851394,0.010844738,0,1.8308113,15.1851394,1.08447379,1.06125372,0.18,-0.744727495,0.071882007,,,,,,,,,,,,,,,,,,,
Anura,Eleutherodactylidae,Eleutherodactylus,portoricensis,8.00744296,300.4,2.477699928,18.3382038,3.325720858,1.51851394,0.005764466,1,1.83382038,15.1851394,0.576446579,0.800744296,,,,,,,,,,,,,,,,,,,,,,
Anura,Eleutherodactylidae,Eleutherodactylus,richmondi,7.3312438,472,2.673941999,18.295135,2.463892989,1.51851394,0.007893157,1,1.8295135,15.1851394,0.789315726,0.73312438,,,,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Ensatina,eschscholtzii,2.3496528,1017,3.007320953,41.129328,5.511922112,1.892094603,0.004310524,0,4.1129328,18.92094603,0.431052421,0.23496528,,,,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Epidalea,calamita,,1756,3.244524512,37.378831,6.356163968,1.875061263,0.030292917,0,3.7378831,18.75061263,3.029291717,,,,,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Eurycea,bislineata,6.016039075,442.3333333,2.645749668,39.20585417,6.077704671,1.892094603,0.004621782,0,3.920585417,18.92094603,0.462178205,0.601603908,,,,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Eurycea,longicauda,7.04046955,622.5,2.794139356,37.0606445,5.928570457,2.187520721,0.01260004,0,3.70606445,21.87520721,1.260004002,0.704046955,1.005295,0.002293523,0.302178271,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Eurycea,lucifuga,6.79317955,634,2.802089258,37.372976,5.652705541,2.187520721,0.01507483,0,3.7372976,21.87520721,1.507482993,0.679317955,0.408005,-0.389334515,0.148604197,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Eurycea,nana,2.4966177,200,2.301029996,29.891328,1.698970004,1.602059991,0.032066427,1,2.9891328,16.02059991,3.206642657,0.24966177,,,,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Eurycea,quadridigitata,7.4414416,21,1.322219295,34.58824,5.871544916,1.892094603,0.015567027,0,3.458824,18.92094603,1.556702681,0.74414416,,,,,,,,,,,,,,,,,,,,,,
Anura,Dicroglossidae,Fejervarya,cancrivora,10.2436818,1,0,5.466919,6.131185116,2.053078443,,0,0.5466919,20.53078443,0,1.02436818,,,,,,,,,,,,,,,,,,,,,,
Anura,Microhylidae,Gastrophryne,carolinensis,9.222693,213,2.328379603,34.683438,6.197748241,1.51851394,0.01137455,0,3.4683438,15.1851394,1.137454982,0.9222693,0.116676125,-0.933018003,0.047927231,,,,,,,,,,,,,,,,,,,
Anura,Myobatrachidae,Geocrinia,laevis,6.3091549,304.7851265,2.48399377,37.13332,4.888027773,1.51851394,0.024296919,0,3.713332,15.1851394,2.429691877,0.63091549,0.23,-0.638272164,0.089905111,,,,,,,,,,,,,,,,,,,
Anura,Myobatrachidae,Geocrinia,victoriana,7.894561233,558.7727319,2.747235204,37.11690933,5.060996079,1.51851394,0.015219421,0,3.711690933,15.1851394,1.52194211,0.789456123,0.275,-0.560667306,0.105510185,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Gyrinophilus,porphyriticus,5.911467,800,2.903089987,35.119752,5.882995006,2.187520721,0.003295318,0,3.5119752,21.87520721,0.329531813,0.5911467,,,,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Hemidactylium,scutatum,5.6881893,111,2.045322979,35.994033,6.179082488,1.892094603,0.024533814,0,3.5994033,18.92094603,2.453381353,0.56881893,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hyla,andersonii,11.3374132,24,1.380211242,39.965255,4.830806723,1.51851394,0.022801921,1,3.9965255,15.1851394,2.280192077,1.13374132,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hyla,arborea,11.7936322,1756,3.244524512,37.378831,6.585470092,1.51851394,0.030292917,0,3.7378831,15.1851394,3.029291717,1.17936322,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hyla,chrysoscelis,9.4406486,340,2.531478917,35.254964,6.567042372,1.51851394,0.030460984,0,3.5254964,15.1851394,3.046098439,0.94406486,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hyla,cinerea,4.6998016,35,1.544068044,28.538335,6.11117141,1.740362689,0.017347739,0,2.8538335,17.40362689,1.73477391,0.46998016,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hyla,meridionalis,,1756,3.244524512,37.378831,5.843184174,1.51851394,0.030292917,0,3.7378831,15.1851394,3.029291717,,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hyla,squirella,4.5998016,35,1.544068044,28.538335,5.888458072,1.51851394,0.017347739,0,2.8538335,15.1851394,1.73477391,0.45998016,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hyla,versicolor,9.8374132,199.5,2.2999429,40.767287,6.349923922,1.51851394,0.023581433,0,4.0767287,15.1851394,2.358143257,0.98374132,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hyla,walkeri,13.9874132,2256,3.353339095,16.747214,3.447158031,1.51851394,0.027166066,1,1.6747214,15.1851394,2.716606643,1.39874132,0.119047619,-0.924279286,0.048848568,,,,,,,,,,,,,,,,,,,
Anura,Ranidae,Hylarana,erythraea,9.8250744,1100,3.041392685,14.0675,6.35853045,1.740362689,-0.006659064,0,1.40675,17.40362689,-0.665906363,0.98250744,,,,,,,,,,,,,,,,,,,,,,
Anura,Hyperoliidae,Hyperolius,tuberilinguis,6.6169153,372,2.57054294,16.019649,6.056498177,1.51851394,0.017560624,0,1.6019649,15.1851394,1.756062425,0.66169153,,,,,,,,,,,,,,,,,,,,,,
Anura,Hyperoliidae,Hyperolius,viridiflavus,6.994228667,559.6666667,2.747929441,5.701095333,6.290811859,1.51851394,0.03334227,0,0.570109533,15.1851394,3.334227024,0.699422867,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hypsiboas,curupi,,312,2.494154594,27.087367,3.54961624,1.602059991,0.00282473,0,2.7087367,16.02059991,0.282472989,,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hypsiboas,faber,,785,2.894869657,23.55052,6.192165308,1.875061263,0.035503802,0,2.355052,18.75061263,3.550380152,,0.065,-1.187086643,0.027349608,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Hypsiboas,raniceps,,102,2.008600172,25.316761,6.920690514,1.51851394,0.012514206,0,2.5316761,15.1851394,1.251420568,,,,,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Incilius,alvarius,6.533101867,305,2.484299839,31,5.562535526,2.164352856,0.034967987,0,3.1,21.64352856,3.496798719,0.653310187,0.181818182,-0.740362689,0.072550667,,,,,,,,,,,,,,,,,,,
